,City,Edition,Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal
0,15,20,0,35,8597,95,1,94,1,0
1,15,20,0,35,12165,34,1,92,1,0
2,15,20,0,35,1948,31,0,57,0,0
3,15,20,0,35,14215,34,1,56,1,2
4,15,20,0,35,8985,33,0,55,0,1
5,15,20,0,12,7900,95,0,124,0,1
6,7,19,36,46,3980,95,0,263,0,1
7,7,19,36,46,6590,52,0,186,0,1
8,7,19,36,46,8105,48,0,23,0,1
9,7,19,36,46,8650,97,0,0,0,2
10,7,19,36,45,6760,32,0,232,0,2
11,7,19,36,45,6570,52,0,139,0,2
12,7,19,35,44,10240,75,0,264,0,2
13,7,19,35,44,10713,75,0,179,0,2
14,7,19,35,44,14828,15,0,28,0,2
15,7,19,35,44,13426,88,0,179,0,0
16,7,19,33,41,2534,95,1,460,1,2
17,7,19,33,41,7653,15,1,460,1,1
18,7,19,33,41,5789,50,1,460,1,0
19,7,19,33,41,2783,10,0,460,0,2
20,7,19,33,41,8954,10,0,460,0,2
21,7,19,33,41,6628,95,0,460,0,1
22,7,19,33,41,3589,48,0,460,0,0
23,7,19,28,34,7654,15,0,163,0,1
24,7,19,28,34,14611,15,0,159,0,1
25,7,19,28,34,12452,95,1,71,1,1
26,7,19,28,34,6267,50,0,106,0,1
27,7,19,27,33,11867,65,0,301,2,1
28,7,19,27,33,11884,10,0,351,2,2
29,7,19,27,33,12555,95,0,137,0,2
30,7,19,25,31,10833,4,0,415,0,2
31,7,19,25,31,6332,30,0,426,0,1
32,7,19,25,31,3917,13,0,415,0,0
33,7,19,25,31,10780,21,1,414,1,0
34,7,19,25,31,3600,95,0,405,0,0
35,7,19,25,31,12990,75,1,361,1,1
36,7,19,25,31,6541,95,0,361,0,2
37,7,19,25,31,361,75,1,361,1,1
38,7,19,25,31,7447,65,0,361,0,0
39,7,19,25,31,6014,21,0,360,0,0
40,7,19,25,31,9637,95,1,343,1,1
41,7,19,25,31,9307,61,1,343,1,0
42,7,19,25,31,10679,61,1,343,1,0
43,7,19,25,31,2724,95,0,343,0,2
44,7,19,25,31,14439,4,0,343,0,0
45,7,19,25,31,7758,75,1,337,1,1
46,7,19,25,31,5765,75,0,325,0,1
47,7,19,21,26,10777,83,0,284,0,2
48,7,19,21,26,4437,95,0,300,0,2
49,7,19,19,23,981,95,0,254,0,2
50,7,19,19,23,5676,52,0,195,0,2
51,7,19,16,20,14214,32,1,370,1,2
52,7,19,16,20,3282,32,1,370,1,2
53,7,19,16,20,3282,32,1,370,1,2
54,7,19,16,20,9690,61,1,370,1,1
55,7,19,16,20,11967,95,1,370,1,0
56,7,19,16,20,238,95,1,370,1,0
57,7,19,16,20,3834,32,0,370,0,2
58,7,19,16,20,8238,66,0,370,0,1
59,7,19,16,20,10653,66,0,370,0,1
