,0
0,0
1,1
2,0
3,1
4,0
5,1
6,1
7,0
8,0
9,0
10,1
11,0
12,1
13,2
14,0
15,0
16,0
17,0
18,2
19,1
20,1
21,0
22,0
23,1
24,1
25,1
26,0
27,0
28,0
29,0
30,0
31,2
32,0
33,0
34,0
35,2
36,0
37,0
38,2
39,0
40,1
41,2
42,0
43,0
44,0
45,0
46,0
47,1
48,0
49,0
50,2
51,1
52,2
53,0
54,0
55,0
56,1
57,0
58,0
59,0
60,0
61,2
62,2
63,2
64,0
65,0
66,0
67,0
68,0
69,2
70,2
71,0
72,0
73,0
74,0
75,0
76,0
77,2
78,1
79,1
80,2
81,0
82,1
83,1
84,0
85,0
86,2
87,0
88,0
89,0
90,2
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,0
103,0
104,0
105,2
106,2
107,1
108,1
109,1
110,1
111,0
112,0
113,0
114,0
115,0
116,2
117,1
118,1
119,0
120,2
121,2
122,2
123,2
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,0
132,1
133,1
134,1
135,0
136,0
137,0
138,2
139,0
140,0
141,0
142,2
143,2
144,1
145,0
146,2
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,2
160,0
161,0
162,2
163,2
164,1
165,0
166,0
167,0
168,2
169,2
170,2
171,0
172,0
173,0
174,0
175,0
176,2
177,2
178,2
179,2
180,2
181,2
182,2
183,2
184,0
185,0
186,2
187,2
188,2
189,0
190,2
191,2
192,0
193,0
194,2
195,0
196,0
197,2
198,2
199,1
200,0
201,0
202,2
203,1
204,0
205,1
206,2
207,1
208,0
209,2
210,0
211,0
212,1
213,2
214,0
215,1
216,1
217,0
218,1
219,0
220,0
221,0
222,1
223,1
224,0
225,0
226,2
227,1
228,1
229,2
230,1
231,2
232,0
233,0
234,1
235,0
236,0
237,0
238,1
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,1
250,2
251,1
252,1
253,0
254,0
255,0
256,0
257,0
258,1
259,1
260,0
261,0
262,0
263,1
264,0
265,2
266,0
267,0
268,2
269,1
270,0
271,0
272,1
273,2
274,0
275,1
276,0
277,2
278,2
279,0
280,2
281,1
282,2
283,0
284,0
285,0
286,0
287,0
288,0
289,1
290,0
291,1
292,0
293,0
294,0
295,1
296,0
297,0
298,1
299,2
300,0
301,1
302,0
303,0
304,0
305,1
306,1
307,1
308,1
309,0
310,0
311,0
312,1
313,1
314,0
315,0
316,0
317,1
318,2
319,0
320,2
321,0
322,0
323,2
324,2
325,0
326,1
327,0
328,1
329,2
330,0
331,0
332,0
333,0
334,1
335,1
336,0
337,0
338,0
339,1
340,1
341,0
342,0
343,2
344,1
345,1
346,2
347,0
348,0
349,0
350,0
351,0
352,2
353,0
354,2
355,2
356,0
357,2
358,0
359,0
360,2
361,0
362,1
363,0
364,0
365,2
366,2
367,0
368,1
369,0
370,2
371,1
372,0
373,0
374,2
375,0
376,2
377,1
378,2
379,2
380,0
381,2
382,0
383,2
384,0
385,0
386,0
387,0
388,1
389,1
390,0
391,1
392,1
393,1
394,0
395,1
396,0
397,1
398,0
399,2
400,0
401,1
402,0
403,1
404,1
405,1
406,0
407,0
408,0
409,0
410,1
411,0
412,2
413,0
414,2
415,0
416,0
417,2
418,0
419,0
420,0
421,1
422,1
423,1
424,2
425,0
426,0
427,2
428,2
429,0
430,2
431,2
432,0
433,2
434,2
435,1
436,0
437,0
438,0
439,2
440,2
441,2
442,0
443,0
444,0
445,0
446,0
447,0
448,2
449,1
450,0
451,1
452,1
453,1
454,1
455,0
456,0
457,0
458,2
459,2
460,0
461,0
462,0
463,0
464,0
465,0
466,1
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,2
475,0
476,0
477,1
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,2
491,0
492,0
493,0
494,1
495,0
496,0
497,0
498,0
499,2
500,0
501,0
502,2
503,0
504,0
505,2
506,0
507,1
508,2
509,1
510,1
511,2
512,2
513,1
514,1
515,0
516,1
517,0
518,2
519,2
520,2
521,1
522,0
523,1
524,0
525,1
526,2
527,1
528,1
529,0
530,1
531,0
532,2
533,0
534,2
535,0
536,1
537,2
538,1
539,2
540,0
541,1
542,2
543,0
544,0
545,0
546,2
547,0
548,0
549,2
550,0
551,2
552,0
553,1
554,1
555,1
556,0
557,2
558,2
559,0
560,1
561,0
562,2
563,2
564,0
565,0
566,0
567,0
568,0
569,1
570,1
571,1
572,1
573,1
574,2
575,0
576,0
577,0
578,0
579,0
580,2
581,1
582,1
583,1
584,1
585,0
586,1
587,1
588,2
589,0
590,2
591,1
592,0
593,2
594,1
595,0
596,0
597,0
598,0
599,0
600,2
601,0
602,2
603,1
604,0
605,0
606,0
607,0
608,0
609,1
610,1
611,0
612,0
613,0
614,2
615,2
616,0
617,0
618,2
619,2
620,2
621,1
622,2
623,0
624,0
625,0
626,2
627,2
628,2
629,2
630,1
631,1
632,1
633,1
634,0
635,0
636,1
637,1
638,0
639,1
640,1
641,1
642,1
643,0
644,2
645,0
646,0
647,0
648,0
649,2
650,2
651,2
652,2
653,0
654,0
655,0
656,0
657,1
658,1
659,2
660,0
661,0
662,0
663,1
664,0
665,0
666,0
667,0
668,0
669,1
670,0
671,0
672,2
673,1
674,1
675,1
676,1
677,2
678,0
679,0
680,0
681,0
682,1
683,2
684,1
685,2
686,2
687,1
688,0
689,0
690,0
691,0
692,0
693,1
694,0
695,0
696,0
697,0
698,2
699,0
700,0
701,0
702,0
703,1
704,2
705,2
706,0
707,1
708,1
709,1
710,1
711,1
712,2
713,0
714,0
715,0
716,0
717,0
718,2
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,1
727,0
728,0
729,0
730,2
731,0
732,2
733,0
734,0
735,0
736,0
737,0
738,0
739,1
740,1
741,0
742,0
743,0
744,1
745,0
746,0
747,2
748,2
749,0
750,0
751,0
752,0
753,2
754,2
755,0
756,0
757,1
758,0
759,0
760,1
761,1
762,0
763,0
764,0
765,0
766,0
767,0
768,1
769,2
770,2
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,2
780,1
781,2
782,1
783,0
784,0
785,0
786,1
787,0
788,2
789,1
790,2
791,1
792,2
793,1
794,2
795,0
796,1
797,1
798,1
799,2
800,0
801,0
802,0
803,2
804,2
805,0
806,0
807,0
808,1
809,2
810,1
811,0
812,1
813,2
814,1
815,0
816,0
817,1
818,0
819,1
820,2
821,1
822,1
823,1
824,1
825,2
826,1
827,2
828,0
829,0
830,0
831,2
832,0
833,0
834,0
835,2
836,0
837,1
838,0
839,1
840,0
841,1
842,1
843,0
844,0
845,0
846,2
847,0
848,1
849,1
850,0
851,0
852,2
853,0
854,0
855,1
856,1
857,1
858,2
859,1
860,2
861,0
862,1
863,0
864,1
865,1
866,2
867,0
868,0
869,0
870,2
871,2
872,2
873,0
874,0
875,1
876,0
877,0
878,0
879,2
880,2
881,1
882,1
883,0
884,0
885,0
886,0
887,0
888,0
889,0
890,2
891,0
892,1
893,1
894,2
895,0
896,1
897,1
898,1
899,0
900,1
901,1
902,1
903,2
904,0
905,0
906,0
907,0
908,0
909,1
910,2
911,0
912,2
913,0
914,0
915,0
916,0
917,1
918,0
919,0
920,0
921,0
922,1
923,1
924,2
925,0
926,0
927,0
928,0
929,1
930,0
931,1
932,2
933,1
934,0
935,0
936,2
937,1
938,0
939,1
940,1
941,1
942,1
943,0
944,1
945,0
946,0
947,1
948,1
949,1
950,1
951,1
952,1
953,0
954,0
955,2
956,0
957,1
958,1
959,2
960,2
961,1
962,0
963,0
964,0
965,1
966,1
967,1
968,0
969,0
970,1
971,1
972,0
973,0
974,0
975,2
976,0
977,0
978,0
979,2
980,0
981,1
982,0
983,1
984,1
985,2
986,2
987,2
988,2
989,0
990,0
991,0
992,2
993,1
994,1
995,1
996,1
997,1
998,0
999,1
1000,0
1001,0
1002,0
1003,0
1004,0
1005,2
1006,2
1007,1
1008,1
1009,0
1010,1
1011,2
1012,1
1013,2
1014,1
1015,2
1016,0
1017,1
1018,1
1019,2
1020,2
1021,0
1022,0
1023,0
1024,0
1025,0
1026,0
1027,1
1028,1
1029,1
1030,0
1031,0
1032,0
1033,0
1034,1
1035,1
1036,1
1037,2
1038,2
1039,1
1040,2
1041,0
1042,0
1043,0
1044,0
1045,2
1046,2
1047,1
1048,0
1049,2
1050,1
1051,1
1052,0
1053,0
1054,2
1055,0
1056,0
1057,1
1058,0
1059,2
1060,2
