,Holding City,Date,Sport,Major,Participant,Country,Gender,Event,Event_G,Medal
1,Athens,1896,Aquatics,Swimming,"HERSCHMANN, Otto",AUT,Men,100m freestyle,M,Silver
4,Athens,1896,Aquatics,Swimming,"CHASAPIS, Spiridon",GRE,Men,100m freestyle for sailors,M,Silver
7,Athens,1896,Aquatics,Swimming,"ANDREOU, Joannis",GRE,Men,1200m freestyle,M,Silver
10,Athens,1896,Aquatics,Swimming,"PEPANOS, Antonios",GRE,Men,400m freestyle,M,Silver
14,Athens,1896,Athletics,Athletics,"HOFMANN, Fritz",GER,Men,100m,M,Silver
16,Athens,1896,Athletics,Athletics,"GOULDING, Grantley",GBR,Men,110m hurdles,M,Silver
19,Athens,1896,Athletics,Athletics,"BLAKE, Arthur",USA,Men,1500m,M,Silver
22,Athens,1896,Athletics,Athletics,"JAMISON, Herbert",USA,Men,400m,M,Silver
25,Athens,1896,Athletics,Athletics,"DANI, Nandor",HUN,Men,800m,M,Silver
28,Athens,1896,Athletics,Athletics,"PARASKEVOPOULOS, Panagiotis",GRE,Men,discus throw,M,Silver
30,Athens,1896,Athletics,Athletics,"CONNOLLY, James",USA,Men,high jump,M,Silver
31,Athens,1896,Athletics,Athletics,"GARRETT, Robert",USA,Men,high jump,M,Silver
34,Athens,1896,Athletics,Athletics,"GARRETT, Robert",USA,Men,long jump,M,Silver
37,Athens,1896,Athletics,Athletics,"VASILAKOS, Kharilaos",GRE,Men,marathon,M,Silver
41,Athens,1896,Athletics,Athletics,"TYLER, Albert",USA,Men,pole vault,M,Silver
44,Athens,1896,Athletics,Athletics,"GOUSKOS, Miltiadis",GRE,Men,shot put,M,Silver
47,Athens,1896,Athletics,Athletics,"TUFFERI, Alexandre",FRA,Men,triple jump,M,Silver
50,Athens,1896,Cycling,Cycling Road,"GOEDRICH, August",GER,Men,individual road race,M,Silver
52,Athens,1896,Cycling,Cycling Track,"KOLETTIS, Georgios",GRE,Men,100km,M,Silver
55,Athens,1896,Cycling,Cycling Track,"FLAMENG, Léon",FRA,Men,10km,M,Silver
57,Athens,1896,Cycling,Cycling Track,"KEEPING, Frank",GBR,Men,12-hour race,M,Silver
60,Athens,1896,Cycling,Cycling Track,"NIKOLOPOULOS, Stamatios",GRE,Men,1km time trial,M,Silver
63,Athens,1896,Cycling,Cycling Track,"NIKOLOPOULOS, Stamatios",GRE,Men,Sprint indivual,M,Silver
66,Athens,1896,Fencing,Fencing,"CALLOT, Henri",FRA,Men,foil individual,M,Silver
68,Athens,1896,Fencing,Fencing,"PERRONNET, Maurice",FRA,Men,"foil, masters",M,Silver
71,Athens,1896,Fencing,Fencing,"KARAKALOS, Telemachos",GRE,Men,sabre individual,M,Silver
73,Athens,1896,Gymnastics,Artistic G.,"FLATOW, Alfred",GER,Men,horizontal bar,M,Silver
